source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,74,3,EB1898C0-79B5-4867-96B3-CADF0D6352F7,Motion Extreme Plaques ,motion-extreme-plaques,,,Motion Extreme Plaques,,Motion Extreme Plaques ,1,1
category,75,3,9E220B9E-F939-46F5-9F11-4FA76F061698,Star Plaques,star-plaques,,,Star Plaques,,Star Plaques,1,1
category,78,3,3042715B-6418-4DA3-8617-91023CB0CF2C,Diamond Resin Plaques ,diamond-resin-plaques,,,Diamond Resin Plaques,,Diamond Resin Plaques ,1,0
category,79,3,3407C6B3-A908-4D8B-87C3-737A4A08EC41,Custom Logo Plaques ,custom-logo-plaques,,,Custom Logo Plaques ,Custom Logo Plaques available in acrylic or wood and in all shapes and sizes. We create around your logo or add your logo to create a unique plaque for a special award.,Custom Logo Plaques ,1,1
category,81,3,D0927B4F-9B1D-4BB0-8388-99202E295768,Picture Frame Plaques ,picture-frame-plaques,,,Picture Photo Plaques,,"Picture Frame Plaques, Photo Plaques",1,1
category,82,3,58CD4376-31E3-4A59-82DB-B57D623084FD,Ribbon Holder Plaques,ribbon-holder-plaques,,,Ribbon Holder Plaques,"Ribbon Holder Plaques feature 3D designs that burst through the surface. Each plaque is available in different sizes, colors, and across various sports and activities.","3D Plaques, Ribbon Holder Plaques",1,1
category,83,3,3E632481-384C-4379-A20E-71A4ADEF7DB4,Resin Mount Plaques,resin-mount-plaques,,,Resin Mount Plaques,,Resin Mounts Plaques,1,1
category,84,3,9AD5E3BE-2875-46DD-913A-6B7E04983708,Trophy Plates,trophy-plates,,,Trophy Plates,Custom printed trophy plates with your text for perpetual trophies or replace an existing trophy plate.,"Custom Printed Name Plates, Trophy Plates, name plates, trophy plate",1,1
category,85,3,A1965E43-B261-4363-8868-AE6C8886131A,Coach Plaques,coach-plaques,,,Coach Plaques,Coach Plaques are personalized for your coach and come in a variety of sports.  Thank your coaches for all their hard work with these unique awards,"Coach Plaques, Coaches Plaques",1,1
category,87,3,6D9B10C8-B9C1-4780-83CD-ACDD6F153B3D,Sports Themed Photo Plaques,sports-themed-photo-plaques,,,Sports Themed Photo Plaques,Sports themed photo plaques are a wonderful keepsake to remember a special season.  Each plaque contains an area to add a picture and includes a sports piece and 6o free characters of text.,"Sports Themed Photo Plaques, sports plaques",1,1
category,89,4,97A6EBDD-77BA-4A8C-AE13-6BB668C59581,Thanks Coach Plaques,thanks-coach-plaques,,,Thanks Coach Plaques,,Thanks Coach Plaques,4,1
category,91,4,9CA36A17-2D0F-4C45-A433-5B163728C92B,Bobbleheads,coach-bobblehead-trophies,,,Coach Bobblehead Trophies,Coach bobblehead trophies for both male and female coaches.  A fun way to say thank you for all your coaches hard work.,Coach Bobblehead Trophies,2,0
category,92,4,224449D2-5416-43B4-B165-E373D166CB82,Whistles,coach-gift-whistles,,,Coach Gifts Whistle | Personalized Coach Whistles,Coach Whistles make excellent coach gifts.  Each coach whistle is personalized for your coach.  Available in silver and gold. Fast delivery.,"Coach Award Whistles, Personalized Coach Whistle, Coach Gift Whistle",1,1
category,94,4,57EB7C8D-71DD-44C3-8BDF-28EE8C73F8C7,Coach Trophies,coach-trophies,,,Coach Trophies,,Coach Trophies,4,1
category,99,4,B6141A52-58E0-4487-8169-0CB6205896D6,Premium Crystal Awards,premium-crystal-awards,,,Premium Crystal Sports Awards,Premium Crystal Sports Awards for the ultimate recogniton.  These beautiful crystal awards are perfect to mark a special occassion or coach.  Free personalization.,Premium Crystal Sports Awards,28,1
category,100,4,70EF0B64-FF18-4E11-974F-AA96AB06F9C1,Sports Mug Trophies,sports-mug-trophies,,,Sports Mug Trophies,"Sports Mug Trophies for all sports including golf, football, bowling, and more.  Personalized at no aditional charge.  Free shipping.  Easy to order.","Sports Mug Trophies, Mug Trophies",15,1
category,102,4,05041828-4723-47B4-97FB-AF379DCA234B,Last Place Awards,last-place-coach-awards,,,Last Place Coach Awards,Reward your good humored coach with a last place award from TrophyPartner.com.  We offer a number of funny awards for this dubious honor.,"Last Place Coach Trophies, Last Place Coach Awards, Last Place Trophies, Last Place Awards",40,1
category,104,4,DC4AE8C5-3840-4C87-BA4B-8BFFBF6E6C46,Picture Frames Plaques,picture-frames-plaques,,,Picture Frame Plaques | Photo Plaques,"Photo Plaques are perfect for team photos, coach gifts, or sponsorship plaques.  Available in multiple sizes and shapes.  Free personalization included.","Picture Photo Plaques, Photo Plaques ",5,1
category,105,4,ACBA5E56-220D-489B-957C-B90FB95017BB,Plaques with Resin Mounts,plaques-with-resin-mounts,,,Plaques with Resin Mounts,"Plaques with Resin Mounts are available in various sports including baseball, football, softball, and more.  Each plaque is available in a cherry or black finish and in three sizes.  Free personalization.","Plaques with Resin Mounts, Plaques",30,1
category,109,4,7BA56ACE-050E-4D11-ABB1-C82B4D184529,Metal Sports Balls Trophies,metal-sports-balls-trophies,,,Metal Sports Ball Trophies,"Metal Sports Balls Trophies are full size ball trophies that make a grand award, perfect for a special player or coach.  Free personalization and shipping.",Metal Sports Balls Trophies,26,0
category,112,4,69FA1557-E85D-4DEB-9956-2C1762A78B43,Ball Holder Trophies,ball-holder-trophies,,,Ball Holder Trophies,"Ball Holder Trophies hold baseballs, softballs, basketballs, footballs, and more that you add yourself.  Free personalization & shipping.",Ball Holder Trophies,29,1
category,113,4,CBC251E3-DE87-4C42-A8CC-7740275F3EFC,Motion Extreme Plaques,motion-extreme-plaques,,,Motion Extreme Plaques,Motion Extreme Plaques feature action oriented sports poses.  Most available in male and female versions.  Free personalization.  Rush service.,Motion Extreme Plaques,27,1
category,115,4,EB7CF088-9B62-41D7-ABB7-C02C87C7720A,Trophy Cups,trophy-cups,,,Trophy Cup Trophies,,"Trophy Cups, Cup Trophies",41,1
category,116,4,C81021A7-882B-4BCA-BF2B-2A0709E684C2,Sports Crystal Awards,sports-crystal-awards,,,Sports Crystal Awards | Sports Crystal Trophies ,Sports Crystal Award Triophies make great coach gifts to recognize that special coach.  Available across many sports.,"Sports Crystal Awards, Sports Crystal Trophies",33,1
category,117,4,D891F68C-A657-42A1-B6E7-70B1DEAE91D7,Photo Plaques,coach-sports-team-photo-plaques,,,Coach Sports Team Photo Plaques,Sports Team Photo Plaques hold team or individual photos and make a perfect Coach Gift.  Include free personalization.  Rush service.  Easy to order.,"Team Pictures for Coaches, Sports Team Photo Plaques, Coach Gift",5,1
