source_type,source_id,Name,original_SEName,final_handle,collision
category,357,Trophy Cup Crystal Awards,trophy-cup-crystal-awards,trophy-cup-crystal-awards,
category,358,Star Crystal Awards,star-crystal-awards,star-crystal-awards,
category,359,Globe Crystal Awards,globe-crystal-awards,globe-crystal-awards,
category,360,Teamwork Crystal Awards,teamwork-crystal-awards,teamwork-crystal-awards,
category,361,Eagle Crystal Awards,eagle-crystal-awards,eagle-crystal-awards,
category,362,Jade Crystal Awards,jade-crystal-awards,jade-crystal-awards,
category,363,Engraved Crystal Awards,engraved-crystal-awards,engraved-crystal-awards,
category,364,Sculpted Glass Crystal Awards,sculpted-glass-crystal-awards,sculpted-glass-crystal-awards,
category,365,Distinctive Gift Crystal Awards,distinctive-gift-crystal-awards,distinctive-gift-crystal-awards,
category,366,Custom 3D Crystal Awards,custom-3d-crystal-awards,custom-3d-crystal-awards,
category,367,Lapel Pins,lapel-pins,lapel-pins,
category,368,All Star Plaques,all-star-plaques,all-star-plaques,
category,369,All Star Plaques,all-star-plaques,all-star-plaques-2,Y
category,370,Ribbon Star Assembled Awards,ribbon-star-assembled-awards,ribbon-star-assembled-awards,
category,371,Custom Insert Trophies,custom-insert-trophies,custom-insert-trophies,
category,374,Award Types,award-types,award-types,
category,375,Tri Star Trophies,tri-star-trophies,tri-star-trophies,
category,376,Assembled Trophies,assembled-trophies,assembled-trophies,
category,377,Star Storm Resin Trophies,star-storm-resin-trophies,star-storm-resin-trophies,
category,378,Rings,rings,rings,
category,380,Champion Pedestal Resin Awards,champion-pedestal-resin-awards,champion-pedestal-resin-awards,
category,381,Shield Resin Trophies,shield-resin-trophies,shield-resin-trophies,
category,383,HERO Plaques,hero-plaques,hero-plaques,
category,384,Phoenix Assembled Trophies,phoenix-assembled-trophies,phoenix-assembled-trophies,
category,385,Olympic Style Medals,olympic-style-medals,olympic-style-medals,
category,386,Business Gifts & Desk Accessories,business-gifts-desk-accessories,business-gifts-desk-accessories,
category,387,"Bar, Beverage & Wine",bar-beverage-wine,bar-beverage-wine,
category,388,Business Gifts,business-gifts,business-gifts,
category,389,Special Occassion,special-occassion,special-occassion,
category,390,Ornaments,ornaments,ornaments,
category,391,Weddings,weddings,weddings,
category,392,Star Swirl Trophies,star-swirl-trophies,star-swirl-trophies,
category,393,Championship Award Belts,championship-award-belts,championship-award-belts,
category,394,World Class Medals,world-class-medals,world-class-medals,
category,395,Technology,technology,technology,
category,396,Custom Awards Inspiration Gallery,custom-awards-inspiration-gallery,custom-awards-inspiration-gallery,
category,397,Star Medallions,star-medallions,star-medallions,
category,398,Patriotic Medals,patriotic-medals,patriotic-medals,
category,399,Academic Performance Medals,academic-performance-medals,academic-performance-medals,
category,400,Wreath Medals,wreath-medals,wreath-medals,
category,401,Stadium Award Medals,stadium-award-medals,stadium-award-medals,
