schema_name,table_name,primary_key_name,key_ordinal,column_name
dbo,ProductStore,PK_ProductStore,2,StoreID
dbo,ProductType,PK_ProductType,1,ProductTypeID
dbo,ProductVariant,PK_ProductVariants,1,VariantID
dbo,ProductVector,PK_ProductVector,1,ProductID
dbo,ProductVector,PK_ProductVector,2,VectorID
dbo,ProductView,PK_ProductView,1,ViewID
dbo,Profile,PK_Profile,1,ProfileID
dbo,PromotionLineItem,PK_[PromotionLineItem,1,id
dbo,Promotions,PK_Promotions,1,Id
dbo,PromotionStore,PK_PromotionStore,1,ID
dbo,PromotionUsage,PK_PromotionUsage,1,Id
dbo,QuantityDiscount,PK_QuantityDiscount,1,QuantityDiscountID
dbo,QuantityDiscountTable,PK_QuantityDiscountTable,1,QuantityDiscountTableID
dbo,Rating,PK_Item_Ratings_1,1,RatingID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,1,StoreID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,2,ProductID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,3,RatingCustomerID
dbo,RatingCommentHelpfulness,PK_Comment_Helpfulness,4,VotingCustomerID
dbo,RestrictedIP,PK_IPAddress,1,IPAddress
dbo,SalesPrompt,PK_SalesPrompts,1,SalesPromptID
dbo,Section,PK_Section,1,SectionID
dbo,SecurityLog,PK_SecurityLog,1,logid
dbo,ShippingByProduct,PK_ShippingByProduct,1,ShippingByProductID
dbo,ShippingCalculation,PK_ShippingCalculation,1,ShippingCalculationID
dbo,ShippingCalculationStore,PK_StoreShippingCalculation,1,StoreId
dbo,ShippingCalculationStore,PK_StoreShippingCalculation,2,ShippingCalculationId
dbo,ShippingImportExport,PK_ShippingImportExport,1,OrderNumber
dbo,ShippingMethod,PK_ShippingMethod,1,ShippingMethodID
dbo,ShippingMethodStore,PK_StoreShippingMethod,1,StoreId
dbo,ShippingMethodStore,PK_StoreShippingMethod,2,ShippingMethodId
dbo,ShippingMethodToCountryMap,PK_ShippingMethodToCountryMap,1,ShippingMethodID
dbo,ShippingMethodToCountryMap,PK_ShippingMethodToCountryMap,2,CountryID
dbo,ShippingMethodToStateMap,PK_ShippingMethodToStateMap,1,ShippingMethodID
dbo,ShippingMethodToStateMap,PK_ShippingMethodToStateMap,2,StateID
dbo,ShippingMethodToZoneMap,PK_ShippingMethodToZoneMap,1,ShippingMethodID
dbo,ShippingMethodToZoneMap,PK_ShippingMethodToZoneMap,2,ShippingZoneID
dbo,ShippingZone,PK_ShippingZone,1,ShippingZoneID
dbo,ShoppingCart,PK_ShoppingCart,1,ShoppingCartRecID
dbo,State,PK_State,1,StateID
dbo,StateTaxRate,PK_StateTaxRate,1,StateTaxID
dbo,Store,PK_Store,1,StoreID
dbo,StringResource,PK_StringResource,1,StringResourceID
dbo,sysdiagrams,PK__sysdiagrams__08211BE3,1,diagram_id
dbo,TaxClass,PK_TaxClass,1,TaxClassID
dbo,Topic,PK_Topic,1,TopicID
dbo,TopicStore,PK_TopicStore,1,TopicID
dbo,TopicStore,PK_TopicStore,2,StoreID
dbo,Vector,PK_Vector,1,VectorID
dbo,ZipTaxRate,PK_ZipTaxRate,1,ZipTaxID
